start_x,start_y,end_x,end_y
15,0,14,-9
30,0,28,-12
45,0,44,-9
60,0,63,-16
75,0,77,-3
105,0,105,-5
120,0,121,-8
135,0,129,0
345,0,341,2
15,15,15,7
30,15,27,3
45,15,44,3
60,15,63,10
75,15,79,10
90,15,89,4
105,15,106,4
120,15,120,5
255,15,252,17
345,15,343,16
30,30,30,25
45,30,47,19
90,30,90,21
105,30,104,22
135,30,134,22
150,30,151,25
270,30,275,28
285,30,287,30
300,30,302,29
405,30,405,24
420,30,419,25
75,45,72,44
90,45,90,38
105,45,104,37
120,45,119,37
135,45,134,35
150,45,149,34
180,45,176,42
195,45,200,38
210,45,208,37
225,45,226,41
300,45,297,43
345,45,345,41
360,45,355,46
390,45,391,43
405,45,406,40
420,45,420,41
15,60,10,60
75,60,77,56
90,60,90,54
105,60,105,52
120,60,120,51
135,60,135,49
150,60,148,50
165,60,164,57
180,60,179,56
195,60,201,59
210,60,208,52
225,60,225,56
240,60,240,62
285,60,286,58
300,60,297,58
330,60,325,60
345,60,343,55
360,60,361,57
375,60,375,56
390,60,393,59
405,60,426,59
420,60,487,58
435,60,439,59
465,60,465,57
15,75,11,76
75,75,72,72
90,75,91,66
105,75,106,69
120,75,120,69
135,75,135,69
150,75,148,68
165,75,163,72
180,75,179,68
195,75,194,69
210,75,210,69
225,75,225,69
240,75,240,70
255,75,254,72
270,75,268,73
285,75,281,70
345,75,345,71
405,75,408,72
420,75,414,74
435,75,432,75
0,90,5,81
15,90,15,83
30,90,32,78
45,90,46,78
60,90,54,79
75,90,73,86
90,90,88,82
105,90,103,85
120,90,121,84
135,90,136,83
150,90,149,84
165,90,165,85
180,90,179,84
195,90,196,83
210,90,212,84
225,90,224,84
240,90,241,84
255,90,255,84
270,90,269,83
285,90,282,85
315,90,314,88
330,90,328,85
390,90,389,87
405,90,405,85
0,105,4,99
15,105,14,98
30,105,29,96
45,105,45,95
60,105,59,99
75,105,72,103
90,105,91,97
105,105,105,96
120,105,119,99
135,105,133,100
150,105,148,101
165,105,163,103
180,105,177,99
195,105,201,103
210,105,219,99
225,105,237,99
240,105,245,100
255,105,261,103
270,105,273,102
285,105,290,100
315,105,314,101
405,105,407,104
420,105,419,102
465,105,462,100
0,120,-5,116
15,120,13,113
30,120,29,117
45,120,44,116
60,120,60,115
75,120,75,114
90,120,90,114
105,120,105,113
120,120,121,114
135,120,134,115
150,120,152,113
165,120,165,117
180,120,174,117
195,120,190,119
210,120,212,117
225,120,230,119
240,120,245,115
255,120,264,114
270,120,273,118
285,120,286,118
300,120,307,120
315,120,320,121
330,120,334,117
345,120,368,113
360,120,378,115
375,120,375,114
390,120,390,116
405,120,412,113
420,120,427,119
435,120,443,120
450,120,452,118
465,120,467,116
0,135,0,129
15,135,15,128
30,135,31,130
45,135,44,132
75,135,75,132
90,135,89,130
105,135,105,129
120,135,120,128
135,135,135,129
150,135,147,129
165,135,161,132
180,135,176,130
195,135,194,131
210,135,205,134
225,135,217,135
240,135,236,133
255,135,253,131
285,135,288,134
300,135,309,136
315,135,320,135
330,135,341,135
345,135,354,134
360,135,369,128
375,135,377,137
390,135,405,134
405,135,420,131
420,135,433,135
435,135,454,131
450,135,468,131
465,135,477,135
0,150,1,146
15,150,11,146
30,150,27,144
45,150,50,145
75,150,77,148
105,150,105,147
120,150,120,144
135,150,134,145
150,150,148,144
165,150,159,144
180,150,164,153
195,150,182,147
210,150,201,142
225,150,210,148
240,150,235,152
255,150,245,148
270,150,263,146
285,150,281,149
300,150,309,149
315,150,324,152
330,150,341,151
345,150,353,145
360,150,363,149
375,150,383,140
390,150,427,143
405,150,419,147
420,150,441,146
435,150,443,147
450,150,473,145
465,150,482,150
0,165,0,159
15,165,13,161
60,165,63,160
75,165,72,162
90,165,94,162
105,165,105,167
120,165,119,159
135,165,132,160
150,165,148,170
165,165,160,161
180,165,155,170
195,165,179,165
210,165,200,166
225,165,211,160
240,165,225,167
255,165,242,165
270,165,259,162
285,165,276,166
300,165,294,164
315,165,339,171
390,165,410,165
405,165,419,158
435,165,440,162
450,165,481,164
465,165,508,162
0,180,-2,179
15,180,14,175
30,180,29,177
45,180,41,177
60,180,58,178
75,180,69,170
90,180,90,174
105,180,91,179
120,180,118,181
135,180,122,187
165,180,155,178
180,180,166,181
195,180,185,179
210,180,196,184
225,180,213,185
240,180,226,177
255,180,241,182
270,180,256,181
285,180,277,182
300,180,294,177
330,180,326,188
360,180,357,181
390,180,444,172
405,180,421,177
420,180,426,177
450,180,494,174
465,180,511,174
0,195,-7,193
15,195,11,189
30,195,23,191
45,195,32,191
60,195,48,191
75,195,56,185
90,195,70,189
105,195,100,189
135,195,117,197
150,195,128,194
165,195,152,192
180,195,171,193
195,195,182,198
210,195,195,197
225,195,212,199
240,195,225,199
255,195,239,198
270,195,253,194
285,195,270,197
300,195,294,201
315,195,314,200
330,195,326,203
345,195,335,208
360,195,353,198
390,195,384,201
420,195,421,192
435,195,432,193
450,195,453,196
465,195,468,198
0,210,-29,212
15,210,-5,207
30,210,3,214
45,210,18,214
60,210,26,211
75,210,62,202
90,210,57,205
105,210,79,208
120,210,110,208
135,210,117,211
150,210,137,206
165,210,149,210
180,210,168,202
195,210,178,207
210,210,186,217
225,210,209,215
240,210,225,219
255,210,244,214
270,210,261,210
285,210,265,215
300,210,290,217
315,210,311,215
330,210,329,216
345,210,332,220
360,210,352,214
420,210,420,212
435,210,435,206
