start_x,start_y,end_x,end_y
150,0,149,3
150,15,152,17
315,15,312,14
345,15,345,17
450,15,449,12
315,30,312,29
330,30,327,30
345,30,346,34
375,30,375,27
60,45,56,45
105,45,105,47
180,45,177,44
195,45,192,44
405,45,403,46
420,45,417,45
0,60,2,57
15,60,17,60
405,60,393,59
420,60,398,60
435,60,436,58
405,75,400,75
420,75,415,75
465,75,461,77
0,90,-4,92
75,90,74,92
90,90,84,88
105,90,101,89
120,90,118,88
180,90,182,91
195,90,197,93
240,90,242,91
435,90,435,93
465,90,460,92
0,105,-2,102
105,105,101,104
120,105,113,102
165,105,158,110
180,105,177,106
195,105,202,107
210,105,215,106
225,105,233,104
240,105,250,104
255,105,257,105
270,105,272,106
285,105,286,106
315,105,315,107
330,105,334,110
450,105,447,109
465,105,464,107
105,120,104,122
135,120,128,122
150,120,139,118
165,120,154,118
180,120,167,123
195,120,189,124
210,120,204,125
225,120,222,121
240,120,251,122
255,120,262,124
270,120,279,128
285,120,300,125
300,120,306,119
315,120,321,123
330,120,337,123
345,120,356,124
360,120,361,116
390,120,398,118
405,120,410,120
420,120,421,123
435,120,429,119
465,120,469,118
135,135,132,136
150,135,135,135
165,135,153,136
180,135,170,139
195,135,182,134
210,135,201,136
225,135,202,143
240,135,229,136
255,135,257,137
270,135,276,137
285,135,289,140
300,135,322,132
315,135,327,128
330,135,351,129
345,135,358,131
360,135,363,134
375,135,379,140
390,135,405,135
405,135,415,135
420,135,435,137
435,135,446,134
450,135,455,134
465,135,481,137
30,150,33,150
45,150,50,150
60,150,63,150
120,150,117,150
135,150,134,153
150,150,141,152
165,150,153,149
180,150,163,149
195,150,178,154
210,150,197,150
225,150,204,153
240,150,225,152
255,150,233,155
270,150,257,149
285,150,267,151
300,150,292,150
315,150,320,149
330,150,352,151
345,150,358,154
360,150,375,143
375,150,375,157
390,150,401,153
405,150,429,152
420,150,440,149
435,150,450,148
450,150,470,153
465,150,486,155
0,165,-2,166
45,165,46,165
120,165,113,164
135,165,130,169
150,165,132,170
165,165,146,169
180,165,164,164
195,165,180,175
210,165,193,172
225,165,204,163
240,165,221,161
255,165,248,165
270,165,249,172
285,165,261,168
300,165,287,175
315,165,310,167
330,165,340,162
345,165,366,166
360,165,367,165
375,165,374,168
390,165,395,160
405,165,423,167
420,165,438,165
435,165,449,164
450,165,478,170
465,165,499,165
30,180,28,182
45,180,43,181
60,180,59,182
75,180,71,182
90,180,88,181
105,180,100,181
120,180,113,183
135,180,112,180
150,180,127,188
165,180,139,188
180,180,163,187
195,180,174,189
210,180,191,181
225,180,205,182
240,180,221,184
255,180,230,184
270,180,246,183
285,180,260,181
300,180,285,192
315,180,305,184
330,180,311,181
345,180,337,183
360,180,341,199
375,180,366,189
390,180,382,180
405,180,411,180
420,180,417,177
435,180,459,180
450,180,490,176
465,180,499,187
0,195,2,196
15,195,11,195
30,195,17,194
45,195,33,196
60,195,41,201
75,195,69,200
90,195,67,199
105,195,98,198
120,195,112,200
135,195,111,205
150,195,126,205
165,195,149,206
180,195,156,195
195,195,175,197
210,195,199,195
225,195,204,201
240,195,226,201
255,195,231,195
270,195,242,204
285,195,253,203
300,195,270,210
315,195,279,201
330,195,304,198
345,195,318,196
360,195,347,202
375,195,367,195
390,195,370,198
405,195,403,193
420,195,408,202
435,195,445,194
450,195,477,189
465,195,473,196
0,210,-9,212
15,210,10,215
30,210,19,216
45,210,34,220
60,210,37,210
75,210,56,214
90,210,63,226
105,210,81,213
120,210,98,218
135,210,105,216
150,210,126,218
165,210,144,214
180,210,159,214
195,210,158,224
210,210,150,228
225,210,203,219
240,210,218,214
255,210,256,221
270,210,253,233
285,210,275,220
300,210,282,232
315,210,295,234
330,210,311,215
345,210,322,216
360,210,351,211
375,210,374,212
390,210,387,214
405,210,399,212
420,210,412,224
435,210,418,220
450,210,453,202
465,210,483,204
