x_world_start,z_world_start,x_world_end,z_world_end
-16.940660475799042,4.238275510925885,-16.338971468602665,4.0564293651621695
-16.319254919236947,4.5659742503990595,-16.085531912581068,4.487954046851384
-13.449409375394545,6.079389695865681,-13.006986633094467,5.850404503540235
-12.918705088557878,6.3592570449630115,-12.58066840993673,6.16978859222348
-12.401169888709946,6.632179665033303,-12.572248773397082,6.541961072247275
-11.896319609302905,6.898412881710108,-12.155998905002019,6.948560133480749
-19.04463932472334,4.874152915813211,-18.434116246451737,4.689636882853252
-18.315150378463738,5.232233735149009,-17.97065850681647,5.039980404923739
-17.607575216355368,5.57955783798642,-17.283438669725253,5.382622977506366
-15.606883863915652,6.5616278232726835,-15.069867694318596,6.265827567082493
-14.977783015384725,6.870431607677983,-14.365557140286743,6.513643385789814
-14.36626019523955,7.170606947692245,-13.652370726220017,6.770474235248437
-13.193081803786669,7.746479525052725,-13.307521779654442,7.690304910572801
-5.312833036446572,11.614620296269935,-5.40177616410516,11.751549374327668
-20.01921183908192,6.464520636696589,-19.31379054139657,6.2056625649678585
-17.640318128382553,7.531416898408253,-16.95356421829473,7.159242856736408
-16.89805649281593,7.864309520149306,-16.475595452489667,7.64565592638015
-16.179151957825955,8.18672685113753,-15.323065342229995,7.661899014132742
-14.807138791483466,8.802053089382804,-14.539515343267556,8.531411754007848
-8.542439236011713,11.61167190775135,-8.72973076835395,11.759340347226594
-7.591894651154191,12.037976143040877,-7.550758253922835,12.168011050821256
-6.688548273127792,12.443112727921664,-6.5155626928668635,12.09849546469283
-24.24583092607818,7.211982798459627,-22.806653155541667,6.8798154168296035
-23.196314992782,7.630375422692738,-21.360791428201452,6.812470605384113
-20.28300870276731,8.79177357321523,-19.503844725558864,8.42017330757594
-19.383131430649307,9.150512303542758,-18.360703094651978,8.570313785030635
-18.515660399152512,9.49633219040647,-17.557098152984278,8.90750716534751
-17.67887605761323,9.829918737753337,-17.086599907038522,9.417959237709466
-16.871178398772333,10.151909793199291,-16.26651976675899,9.756470429990653
-16.09107674789775,10.462899618625686,-15.350343885686833,9.833463306650597
-15.337180580930486,10.763442550552474,-15.078310933116642,10.399186871567906
-14.608191252666938,11.054056297722758,-14.32361877116428,10.708088321378717
-7.428097028517318,13.916422050711452,-7.14511494618905,13.276384994814123
-5.9895246500231405,14.48991317504066,-5.864978224176561,14.170276561990079
-27.572078556269382,9.236084978247476,-27.30817383128466,9.325606144516744
-26.27681261997473,9.675462171106249,-26.10859453002394,9.732524732607772
-25.039738810645247,10.09509956175453,-24.584577971075063,10.01909302627968
-23.85702170755613,10.496298192969936,-22.858582146765084,9.959923983354418
-22.725155698930237,10.880247230481856,-21.55829740845082,10.216410735953103
-21.640930277538864,11.24803573531959,-20.060764741860705,10.362358120871091
-20.601399628136594,11.600662980294189,-19.385728381422577,10.803845856087918
-19.60385590001108,11.939047516423882,-18.599641856566134,11.282303792212435
-18.64580565401048,12.264035162520399,-17.70862502589072,11.60330386679771
-17.72494905270744,12.576406064254634,-17.132539028861796,11.999306403120256
-16.8391614280657,12.876880946731271,-16.267142227950792,13.070920011115833
-15.986476915632277,13.166126666061238,-15.425104730892869,12.607424682791562
-13.609470427236973,13.972449451995002,-13.820712117638017,14.275862097009213
-11.472094093838999,14.697485436603449,-11.137786680840957,14.468349361278424
-8.936330550777829,15.557661432963766,-8.793166303679502,15.125633679688871
-8.351519512579163,15.756039715844896,-8.120465429236496,15.209038514156392
-7.234648952548851,16.134902031066847,-7.019286240314249,16.207956885129317
-6.701026813570833,16.31591613087571,-4.588111019489054,16.88856318779714
-6.182981044884928,16.491646449445437,-6.041539729616201,16.09421683624403
-35.85668547197516,11.087858126244987,-35.600363117796235,11.156323382420439
-33.9825653674232,11.588446978406306,-33.22781421703954,11.462412365805424
-28.959979861327767,12.93001004433343,-26.33159075314127,11.676474050145368
-27.45974297383216,13.330732420480734,-25.434066664602078,12.211626929420156
-26.03547422659549,13.711163245387171,-24.78383870471846,12.936851271048058
-24.68154586018653,14.072805727746294,-23.44340941855829,13.322624275796326
-23.392872595892328,14.417018176360008,-21.97697551304907,13.491038770518745
-22.16484780916385,14.745031048598538,-20.609022937065458,13.648143049834019
-20.993288507437654,15.057961647158141,-19.847909177415026,14.114415635193213
-19.874387727265937,15.356826835076538,-18.604062912710845,14.245061452735458
-18.80467320923438,15.642554073913097,-18.2308108450745,15.060979301460696
-17.78097140555291,15.915991037539763,-16.999038853128237,15.177301894679808
-16.800376034393434,16.177914011468257,-16.136798512247196,15.425453028463007
-15.860220524695318,16.42903525300973,-15.411242117134032,15.85816476712155
-13.258834351132368,17.123881285283375,-12.883385508732179,16.786927426709678
-12.457777012900696,17.33784856117291,-11.838056033534649,16.8684228196102
-10.227817585267754,17.933484255776353,-9.89302475460272,17.222399266749736
-9.537125470462247,18.117972310788186,-9.273817848957314,17.593417883919475
-8.22658572623074,18.468025428879827,-7.944618422888764,18.349267400791856
-7.604356628489936,18.63422659659736,-7.550099313562451,18.267432372720872
-7.00269828614274,18.7949331907251,-7.161187032348743,18.752599884897446
