start_x,start_y,end_x,end_y
420,0,423,-1
465,0,468,0
180,15,184,16
300,15,297,15
360,15,356,15
420,15,421,11
435,15,439,14
450,15,453,15
465,15,474,16
135,30,133,32
150,30,150,32
165,30,160,20
180,30,199,45
195,30,192,30
210,30,207,29
225,30,217,30
240,30,234,22
255,30,248,25
285,30,281,28
300,30,296,28
315,30,307,28
330,30,323,26
375,30,377,28
405,30,407,28
435,30,437,29
450,30,456,30
465,30,474,30
15,45,12,44
30,45,28,42
120,45,120,51
135,45,129,44
150,45,148,35
165,45,156,41
180,45,172,39
195,45,185,45
210,45,201,44
225,45,221,44
240,45,235,42
255,45,253,43
300,45,291,45
315,45,305,46
330,45,312,48
345,45,350,45
360,45,369,48
375,45,385,47
390,45,391,44
405,45,408,41
435,45,439,41
450,45,456,44
465,45,472,45
75,60,74,57
105,60,103,62
135,60,130,57
150,60,147,61
165,60,158,59
180,60,171,59
195,60,187,61
210,60,204,57
225,60,214,56
240,60,232,57
255,60,251,59
315,60,312,56
330,60,336,61
345,60,355,58
360,60,366,63
375,60,378,58
405,60,414,60
420,60,425,60
435,60,445,56
450,60,461,56
465,60,474,56
0,75,-1,70
15,75,12,73
30,75,25,75
45,75,40,73
60,75,50,72
75,75,74,69
90,75,88,73
105,75,93,74
120,75,110,74
135,75,124,67
150,75,143,70
165,75,157,76
180,75,172,73
195,75,183,78
210,75,202,75
225,75,211,76
240,75,219,81
255,75,246,73
270,75,274,71
285,75,295,74
300,75,311,81
315,75,322,75
330,75,338,75
345,75,355,76
360,75,374,72
375,75,377,75
390,75,388,71
405,75,407,73
420,75,429,76
435,75,450,77
450,75,453,68
465,75,464,68
0,90,0,85
60,90,58,89
75,90,69,88
90,90,79,90
105,90,97,91
120,90,105,87
135,90,115,83
150,90,133,91
165,90,144,88
180,90,158,88
195,90,178,90
210,90,193,92
225,90,216,89
240,90,231,86
255,90,243,90
270,90,247,109
285,90,307,94
300,90,312,90
315,90,332,89
330,90,350,92
345,90,364,93
360,90,373,88
405,90,406,85
420,90,426,84
435,90,440,86
465,90,466,86
30,105,25,103
45,105,39,106
60,105,51,103
75,105,71,108
90,105,84,103
105,105,91,104
120,105,106,104
135,105,109,102
150,105,133,104
165,105,146,109
180,105,158,111
195,105,175,107
210,105,201,111
240,105,245,109
255,105,268,109
270,105,281,110
285,105,307,110
300,105,321,111
315,105,340,109
330,105,350,105
345,105,365,106
360,105,372,99
420,105,417,102
465,105,470,102
0,120,3,122
30,120,27,120
45,120,40,119
60,120,53,117
75,120,71,118
90,120,85,116
105,120,93,119
120,120,103,124
135,120,123,120
150,120,133,126
165,120,155,121
180,120,163,124
195,120,172,123
210,120,213,125
225,120,242,127
240,120,257,130
255,120,275,124
270,120,287,116
285,120,314,135
300,120,324,129
315,120,344,123
330,120,354,119
345,120,363,118
360,120,373,122
375,120,380,119
405,120,407,119
420,120,418,116
435,120,443,111
450,120,462,120
465,120,471,114
0,135,-6,140
15,135,10,135
30,135,24,134
45,135,39,130
60,135,53,134
75,135,67,134
90,135,78,131
105,135,94,134
120,135,107,133
135,135,122,130
150,135,137,140
165,135,154,141
180,135,163,153
195,135,184,151
210,135,202,145
225,135,245,138
240,135,255,140
255,135,266,145
270,135,286,139
285,135,300,141
300,135,327,141
315,135,337,138
330,135,354,136
345,135,356,136
360,135,367,132
375,135,376,133
405,135,412,135
420,135,428,131
435,135,446,131
450,135,460,147
465,135,463,138
0,150,-7,152
15,150,7,148
30,150,14,150
45,150,28,152
60,150,47,137
75,150,49,153
90,150,61,150
105,150,92,143
120,150,105,145
135,150,114,151
150,150,120,158
165,150,145,140
180,150,167,161
195,150,210,162
210,150,226,168
225,150,247,173
240,150,252,157
255,150,274,171
270,150,290,167
285,150,303,164
300,150,318,156
315,150,350,155
330,150,355,154
345,150,358,152
360,150,369,146
405,150,408,150
420,150,424,151
435,150,444,150
450,150,464,152
465,150,492,152
0,165,-13,168
15,165,8,161
30,165,1,168
45,165,15,168
60,165,36,160
75,165,46,163
90,165,55,168
105,165,73,163
120,165,106,162
135,165,125,165
150,165,135,169
165,165,178,179
180,165,192,175
195,165,210,179
210,165,233,186
225,165,269,188
240,165,276,183
255,165,279,169
270,165,276,179
285,165,312,179
300,165,316,179
315,165,345,173
330,165,363,167
345,165,359,169
360,165,376,166
390,165,395,164
405,165,410,165
435,165,436,166
450,165,468,167
465,165,474,169
0,180,-20,177
15,180,-6,175
30,180,-1,185
45,180,13,181
60,180,40,183
75,180,29,188
90,180,51,188
105,180,88,200
120,180,117,179
135,180,115,180
150,180,146,182
165,180,164,197
180,180,191,194
195,180,209,193
210,180,228,195
225,180,252,191
240,180,271,193
255,180,280,185
270,180,292,187
285,180,315,187
300,180,316,192
315,180,325,190
330,180,347,183
345,180,359,172
360,180,369,181
390,180,396,180
405,180,411,185
420,180,425,184
435,180,454,185
450,180,464,180
465,180,470,184
0,195,-18,197
15,195,-5,193
30,195,1,201
45,195,0,212
60,195,30,201
75,195,58,194
90,195,49,181
105,195,101,210
120,195,156,206
135,195,110,198
150,195,140,197
165,195,156,199
180,195,184,204
195,195,208,210
210,195,218,215
225,195,259,209
240,195,255,213
255,195,266,204
270,195,283,198
285,195,297,199
300,195,319,204
315,195,326,203
330,195,344,196
345,195,353,195
360,195,362,192
405,195,407,192
435,195,439,193
450,195,452,192
465,195,472,203
0,210,-17,200
15,210,-6,202
30,210,6,202
45,210,4,226
60,210,47,214
75,210,52,213
90,210,72,212
105,210,96,214
120,210,120,224
135,210,131,218
150,210,142,216
165,210,160,222
180,210,170,275
195,210,201,236
210,210,221,242
225,210,226,239
240,210,254,227
255,210,266,221
270,210,298,219
285,210,311,224
300,210,334,240
315,210,352,214
330,210,359,210
345,210,362,216
360,210,384,217
375,210,379,210
390,210,400,211
405,210,408,212
420,210,422,217
435,210,442,216
450,210,453,220
465,210,467,210
