start_x,start_y,end_x,end_y
390,0,390,-2
450,0,451,-1
465,0,469,3
135,15,134,12
210,15,207,14
300,15,297,14
315,15,306,15
330,15,326,12
345,15,340,15
360,15,355,12
405,15,412,16
450,15,452,13
465,15,475,16
135,30,135,27
165,30,162,27
180,30,178,41
210,30,207,31
225,30,223,31
240,30,241,29
255,30,248,29
270,30,264,31
285,30,279,32
300,30,291,30
315,30,303,29
330,30,312,27
345,30,335,30
360,30,354,34
375,30,381,32
390,30,391,27
405,30,411,31
420,30,422,30
450,30,460,36
465,30,475,34
120,45,116,46
165,45,168,49
195,45,187,44
210,45,201,41
225,45,215,45
240,45,232,47
255,45,247,48
270,45,257,45
285,45,277,44
300,45,277,42
315,45,300,41
330,45,314,43
345,45,357,50
360,45,368,46
375,45,392,45
405,45,409,49
420,45,420,48
435,45,442,47
450,45,466,47
465,45,477,47
165,60,168,61
180,60,176,58
195,60,183,56
210,60,196,61
225,60,210,59
240,60,225,61
255,60,244,59
270,60,257,60
285,60,272,61
315,60,318,57
330,60,337,56
345,60,352,65
360,60,370,62
375,60,386,62
405,60,403,63
435,60,443,62
450,60,462,65
465,60,483,60
45,75,42,74
120,75,117,75
150,75,147,74
165,75,162,75
180,75,167,78
195,75,183,71
210,75,191,70
225,75,210,78
240,75,220,80
255,75,231,78
270,75,249,79
285,75,286,79
300,75,307,78
315,75,326,78
330,75,349,83
345,75,356,76
360,75,371,72
375,75,389,74
420,75,423,76
450,75,456,78
465,75,466,77
0,90,0,88
120,90,117,91
135,90,129,92
150,90,144,90
165,90,158,89
180,90,167,89
195,90,170,82
210,90,193,87
225,90,214,91
240,90,222,98
255,90,250,91
270,90,268,93
285,90,297,97
300,90,314,91
315,90,329,93
330,90,343,94
345,90,357,90
360,90,370,86
450,90,454,88
465,90,479,88
60,105,56,105
120,105,117,105
135,105,129,108
150,105,133,108
165,105,159,106
180,105,179,103
195,105,189,104
210,105,203,107
225,105,224,111
240,105,241,107
255,105,262,112
270,105,284,115
285,105,298,108
300,105,319,111
315,105,336,111
330,105,353,111
345,105,365,108
360,105,362,104
45,120,44,122
135,120,127,118
150,120,148,118
165,120,161,119
240,120,244,127
255,120,259,131
270,120,285,123
285,120,301,126
300,120,315,123
315,120,331,124
330,120,340,130
345,120,352,120
360,120,366,120
435,120,439,124
450,120,449,122
0,135,3,135
15,135,17,135
60,135,57,134
105,135,100,134
120,135,113,135
135,135,119,137
150,135,140,134
165,135,157,130
180,135,177,138
195,135,196,136
210,135,210,138
225,135,219,140
255,135,257,135
270,135,263,140
285,135,286,145
300,135,295,141
315,135,321,139
330,135,345,143
345,135,364,140
360,135,363,127
420,135,417,134
435,135,439,133
450,135,456,140
465,135,467,137
0,150,-2,151
105,150,102,148
120,150,111,146
135,150,121,150
150,150,142,147
165,150,161,150
180,150,177,152
195,150,202,157
210,150,221,155
225,150,225,161
240,150,249,155
255,150,259,151
270,150,274,155
285,150,293,155
300,150,308,153
315,150,317,152
330,150,331,152
405,150,407,151
435,150,434,152
450,150,450,154
465,150,469,152
75,165,73,166
90,165,86,164
105,165,96,165
120,165,98,168
135,165,119,166
150,165,141,167
165,165,161,165
180,165,176,166
195,165,197,174
210,165,221,171
225,165,229,172
240,165,254,174
255,165,273,166
270,165,278,165
285,165,289,170
300,165,312,175
315,165,324,170
330,165,339,166
345,165,347,164
360,165,365,163
435,165,435,167
465,165,476,164
0,180,2,176
15,180,12,176
30,180,19,182
45,180,34,182
75,180,66,179
90,180,78,178
105,180,103,174
120,180,111,184
135,180,127,180
150,180,144,180
165,180,183,191
180,180,204,187
195,180,194,182
210,180,206,187
225,180,240,187
240,180,257,186
255,180,269,184
270,180,283,178
285,180,298,192
300,180,312,194
315,180,317,190
330,180,334,188
345,180,349,181
360,180,362,174
450,180,452,178
0,195,4,201
15,195,13,197
30,195,22,194
45,195,46,210
60,195,56,195
75,195,73,192
90,195,77,200
105,195,99,199
120,195,118,196
150,195,138,200
165,195,162,209
180,195,180,201
195,195,196,196
210,195,227,205
225,195,244,200
240,195,260,201
255,195,266,203
270,195,275,202
285,195,296,207
300,195,304,206
315,195,320,196
330,195,336,200
345,195,347,192
360,195,360,190
465,195,466,193
0,210,3,213
15,210,12,208
30,210,32,210
45,210,50,214
60,210,57,213
75,210,69,211
90,210,74,215
105,210,103,212
120,210,121,216
135,210,133,214
150,210,142,213
165,210,160,215
180,210,180,220
195,210,206,224
210,210,218,213
225,210,239,219
240,210,258,213
255,210,265,216
270,210,283,225
285,210,293,223
300,210,300,216
315,210,323,233
330,210,342,219
345,210,356,213
360,210,363,211
375,210,374,212
450,210,452,210
465,210,465,204
