start_x,start_y,end_x,end_y
345,195,354,195
390,195,393,195
405,195,409,194
420,195,424,194
435,195,443,195
450,195,456,195
465,195,473,200
0,210,-25,202
15,210,-7,199
30,210,3,209
45,210,21,212
60,210,36,217
75,210,56,221
90,210,76,227
105,210,82,236
120,210,91,217
135,210,122,230
150,210,143,214
165,210,166,223
180,210,170,238
195,210,217,243
210,210,220,227
225,210,230,228
240,210,256,222
255,210,262,231
270,210,274,230
285,210,304,224
300,210,330,218
315,210,355,227
330,210,363,230
345,210,358,216
360,210,387,227
375,210,375,213
390,210,403,207
405,210,414,213
420,210,424,212
435,210,440,210
450,210,458,208
465,210,465,212
