start_x,start_y,end_x,end_y
345,0,340,0
450,0,452,1
465,0,469,0
120,15,119,17
135,15,134,22
180,15,177,14
225,15,223,16
300,15,296,15
330,15,326,15
345,15,341,13
375,15,372,15
390,15,393,13
405,15,408,14
435,15,436,12
450,15,455,16
465,15,477,16
135,30,137,29
150,30,149,26
165,30,158,21
180,30,172,38
195,30,196,28
210,30,206,30
225,30,216,28
240,30,230,32
255,30,248,33
285,30,282,27
300,30,291,26
315,30,302,32
330,30,315,27
345,30,334,34
375,30,381,30
390,30,394,26
405,30,412,26
420,30,422,30
435,30,439,30
450,30,456,32
465,30,474,32
120,45,122,45
135,45,132,48
150,45,142,40
165,45,159,35
180,45,171,53
195,45,184,45
210,45,196,47
225,45,217,45
240,45,234,46
255,45,251,47
270,45,267,46
285,45,281,45
300,45,294,44
315,45,300,47
330,45,311,48
345,45,334,47
360,45,370,47
375,45,381,47
405,45,411,44
435,45,440,42
450,45,456,47
465,45,472,45
30,60,28,62
60,60,60,62
75,60,73,63
135,60,130,59
150,60,142,64
165,60,159,62
180,60,173,62
195,60,185,58
210,60,205,66
225,60,214,61
240,60,230,59
255,60,251,61
270,60,263,60
285,60,279,63
300,60,292,63
330,60,337,66
345,60,354,61
360,60,371,58
375,60,381,59
405,60,405,63
435,60,439,59
450,60,457,62
465,60,475,61
0,75,1,77
15,75,13,77
30,75,25,78
45,75,43,76
60,75,58,76
75,75,68,75
105,75,101,75
120,75,113,74
135,75,127,77
150,75,142,72
165,75,156,77
180,75,171,78
195,75,185,78
210,75,193,76
225,75,213,70
240,75,223,76
255,75,234,81
270,75,247,81
285,75,290,75
300,75,307,82
315,75,325,83
330,75,339,74
345,75,360,78
360,75,381,77
375,75,380,73
405,75,406,72
450,75,456,73
465,75,467,74
0,90,4,96
15,90,8,91
30,90,28,88
75,90,70,87
90,90,80,91
105,90,95,90
120,90,107,92
135,90,123,96
150,90,137,89
165,90,145,89
180,90,159,92
195,90,177,88
210,90,181,93
225,90,198,105
240,90,227,93
255,90,228,90
270,90,261,100
285,90,295,103
300,90,308,94
315,90,334,95
330,90,351,91
345,90,362,88
360,90,364,90
375,90,377,90
420,90,419,83
450,90,458,87
0,105,-3,102
15,105,12,104
30,105,25,104
45,105,42,103
60,105,49,103
75,105,71,104
90,105,80,103
105,105,89,106
120,105,103,107
135,105,113,106
150,105,125,104
165,105,141,107
180,105,159,111
195,105,175,105
210,105,198,114
225,105,223,110
240,105,246,110
255,105,252,111
270,105,265,102
285,105,308,107
300,105,322,114
315,105,333,109
330,105,350,103
345,105,365,103
360,105,364,111
390,105,390,107
420,105,422,106
15,120,15,117
45,120,38,120
60,120,56,120
75,120,69,120
90,120,83,122
105,120,94,120
120,120,106,120
135,120,128,121
150,120,136,124
165,120,149,122
180,120,168,120
195,120,184,122
210,120,212,124
225,120,229,126
240,120,248,124
255,120,260,126
270,120,298,111
285,120,312,133
300,120,325,122
315,120,348,123
330,120,359,121
345,120,369,126
360,120,365,118
390,120,391,121
405,120,417,122
420,120,422,120
435,120,444,115
450,120,455,118
465,120,472,120
0,135,-3,135
15,135,13,131
30,135,27,136
45,135,40,136
60,135,54,135
75,135,68,136
90,135,77,134
105,135,88,137
120,135,108,136
135,135,120,133
150,135,131,131
165,135,147,131
180,135,173,138
210,135,214,139
225,135,235,143
240,135,243,140
