start_x,start_y,end_x,end_y
240,0,240,-2
345,0,342,-1
360,0,358,-2
465,0,468,1
180,15,182,15
255,15,254,17
300,15,296,15
345,15,341,12
360,15,357,14
375,15,371,16
390,15,390,13
465,15,474,15
135,30,134,25
150,30,147,26
165,30,163,34
180,30,184,36
195,30,192,30
210,30,204,25
225,30,221,30
240,30,235,31
255,30,250,35
270,30,268,30
285,30,282,31
300,30,293,26
315,30,303,33
330,30,319,29
345,30,337,32
360,30,357,28
390,30,392,30
405,30,408,30
450,30,453,30
465,30,471,29
15,45,11,42
75,45,75,48
105,45,101,46
135,45,129,44
150,45,144,35
165,45,160,38
180,45,178,46
195,45,187,44
210,45,204,41
225,45,211,42
240,45,234,45
255,45,249,41
270,45,261,43
285,45,279,49
300,45,299,42
315,45,301,48
330,45,313,48
345,45,338,44
360,45,370,44
375,45,381,39
405,45,409,45
420,45,422,44
435,45,439,41
450,45,455,45
465,45,472,45
60,60,59,50
75,60,77,59
135,60,132,60
150,60,144,57
165,60,160,54
180,60,174,57
195,60,185,61
210,60,205,61
225,60,212,56
240,60,234,60
255,60,252,59
270,60,264,59
285,60,279,62
315,60,307,61
330,60,340,58
345,60,352,62
360,60,365,67
375,60,377,60
405,60,407,60
420,60,422,59
435,60,439,55
450,60,457,59
465,60,470,64
15,75,13,79
30,75,23,78
45,75,40,72
60,75,56,74
75,75,72,72
90,75,88,76
105,75,97,72
120,75,113,75
135,75,127,75
150,75,137,74
165,75,154,71
180,75,171,75
195,75,182,80
210,75,200,74
225,75,212,73
240,75,226,77
255,75,229,82
270,75,251,75
285,75,289,76
300,75,318,82
315,75,324,82
330,75,339,73
345,75,353,75
360,75,376,73
375,75,378,73
435,75,436,72
450,75,452,74
465,75,466,76
90,90,79,92
105,90,93,91
120,90,109,91
135,90,124,91
150,90,136,96
165,90,147,91
180,90,163,91
195,90,175,87
210,90,185,90
225,90,216,91
240,90,216,91
255,90,232,89
270,90,272,97
285,90,298,96
300,90,315,99
315,90,328,98
330,90,354,97
345,90,359,88
360,90,368,90
405,90,406,86
420,90,425,92
435,90,440,88
465,90,469,87
15,105,12,103
30,105,27,103
45,105,46,102
60,105,51,100
75,105,71,101
90,105,83,103
105,105,87,106
120,105,100,109
135,105,114,108
150,105,123,103
165,105,145,102
180,105,167,106
195,105,181,103
210,105,203,115
225,105,222,106
240,105,246,108
255,105,258,107
270,105,277,110
285,105,316,112
300,105,329,109
315,105,337,108
330,105,346,109
345,105,366,110
360,105,374,108
420,105,421,105
450,105,454,102
45,120,42,119
60,120,56,120
75,120,70,121
90,120,85,121
105,120,94,117
120,120,103,122
135,120,124,118
150,120,134,126
165,120,148,123
180,120,165,123
195,120,181,122
210,120,214,126
225,120,227,124
240,120,253,127
255,120,269,133
270,120,293,132
285,120,312,132
300,120,328,133
315,120,347,127
330,120,353,124
345,120,371,127
360,120,368,118
375,120,375,116
405,120,409,120
420,120,424,117
435,120,439,117
0,135,-4,136
15,135,12,135
30,135,29,132
45,135,40,134
60,135,55,135
75,135,67,136
90,135,76,137
105,135,88,137
120,135,105,135
135,135,123,136
150,135,126,134
165,135,138,133
180,135,166,137
210,135,211,141
225,135,238,144
240,135,249,142
255,135,257,152
270,135,279,138
285,135,302,147
300,135,318,147
315,135,338,144
330,135,349,143
345,135,365,140
360,135,373,142
375,135,375,132
390,135,391,130
405,135,412,134
420,135,423,137
435,135,446,138
450,135,461,137
465,135,469,136
0,150,-15,150
15,150,4,153
30,150,24,149
45,150,35,150
60,150,41,154
75,150,52,153
90,150,64,151
105,150,93,150
120,150,107,147
135,150,124,143
150,150,139,143
165,150,149,149
180,150,184,156
195,150,203,160
210,150,226,169
225,150,239,163
240,150,268,161
255,150,273,162
270,150,281,170
285,150,308,161
300,150,320,152
315,150,335,154
330,150,344,155
345,150,355,153
360,150,365,151
405,150,411,149
420,150,422,148
435,150,447,155
450,150,470,156
465,150,482,152
0,165,-3,165
15,165,2,165
30,165,12,162
45,165,23,166
60,165,33,162
75,165,60,165
90,165,73,166
105,165,81,171
120,165,104,163
135,165,120,159
150,165,126,167
165,165,169,174
180,165,183,171
195,165,208,171
210,165,232,171
225,165,254,177
240,165,270,180
255,165,269,171
270,165,283,176
285,165,310,170
300,165,331,176
315,165,334,185
330,165,354,175
345,165,368,164
360,165,366,168
375,165,377,163
390,165,395,166
405,165,413,164
420,165,424,168
435,165,436,167
450,165,461,168
465,165,476,165
0,180,-10,179
15,180,4,180
30,180,13,183
45,180,28,185
60,180,43,178
75,180,46,179
90,180,43,190
105,180,71,185
120,180,90,184
135,180,116,181
150,180,146,200
165,180,169,190
180,180,185,189
195,180,211,183
210,180,228,191
225,180,248,192
240,180,253,203
255,180,272,194
270,180,301,185
285,180,319,192
300,180,329,193
315,180,330,196
330,180,344,185
345,180,354,181
360,180,366,183
390,180,393,185
405,180,411,180
420,180,427,179
435,180,442,182
450,180,455,182
0,195,-21,195
15,195,-3,200
30,195,13,201
45,195,31,200
60,195,55,194
75,195,58,188
90,195,78,206
105,195,81,208
120,195,105,204
135,195,123,203
150,195,138,202
165,195,157,202
180,195,183,207
195,195,184,224
210,195,241,203
225,195,242,200
240,195,252,208
255,195,275,208
270,195,295,201
285,195,306,200
300,195,312,211
315,195,332,222
330,195,342,201
345,195,357,193
360,195,368,194
390,195,392,197
435,195,437,194
450,195,457,198
465,195,469,200
0,210,-17,214
15,210,-2,213
30,210,19,204
45,210,40,206
60,210,55,212
75,210,67,214
90,210,82,227
105,210,94,225
120,210,111,222
135,210,124,230
150,210,138,223
165,210,155,226
180,210,177,236
195,210,174,236
210,210,212,228
225,210,227,268
240,210,266,222
255,210,275,220
270,210,297,216
285,210,308,225
300,210,314,223
315,210,340,234
330,210,356,229
345,210,374,207
360,210,378,196
390,210,391,211
450,210,449,216
465,210,466,224
