start_x,start_y,end_x,end_y
345,0,342,0
360,0,358,-2
450,0,445,-3
465,0,466,1
180,15,174,18
270,15,268,18
300,15,290,14
315,15,310,15
330,15,321,15
375,15,371,16
405,15,407,11
450,15,452,16
465,15,472,17
135,30,137,30
150,30,152,46
165,30,169,31
225,30,214,28
240,30,235,31
255,30,251,26
270,30,261,31
285,30,281,31
300,30,288,30
315,30,303,30
330,30,318,31
345,30,329,33
360,30,358,32
375,30,387,29
405,30,408,30
450,30,456,34
465,30,474,33
120,45,113,44
135,45,135,47
150,45,155,46
165,45,158,49
180,45,173,45
195,45,185,46
210,45,201,46
225,45,216,41
240,45,233,47
270,45,256,44
285,45,278,48
300,45,290,45
315,45,299,47
330,45,315,50
345,45,347,51
360,45,370,47
375,45,389,47
420,45,423,39
435,45,435,47
450,45,459,44
465,45,470,48
150,60,146,59
165,60,161,63
180,60,169,58
195,60,187,59
210,60,198,62
225,60,210,61
240,60,227,62
255,60,240,60
270,60,257,61
285,60,267,58
300,60,294,61
315,60,316,62
330,60,334,60
345,60,356,63
360,60,372,63
375,60,387,63
405,60,402,60
420,60,411,57
435,60,438,61
450,60,457,60
465,60,471,62
45,75,42,74
105,75,102,77
120,75,115,79
135,75,131,79
150,75,141,77
165,75,160,78
180,75,167,78
195,75,179,77
210,75,199,78
225,75,204,78
240,75,230,79
255,75,240,76
270,75,253,77
285,75,286,83
300,75,307,88
315,75,321,78
330,75,339,81
345,75,350,81
360,75,369,81
375,75,380,76
420,75,415,74
435,75,432,75
465,75,468,72
60,90,61,91
75,90,77,88
90,90,90,92
105,90,102,91
120,90,114,89
135,90,125,91
150,90,142,89
165,90,155,90
180,90,166,91
195,90,171,92
210,90,189,92
225,90,210,93
240,90,229,92
255,90,251,93
270,90,261,106
285,90,301,103
300,90,310,100
315,90,332,97
330,90,344,95
345,90,362,96
360,90,373,96
420,90,417,92
450,90,457,87
465,90,474,87
60,105,58,106
105,105,100,104
120,105,109,104
135,105,123,105
150,105,133,106
165,105,151,110
180,105,160,109
195,105,176,107
210,105,200,108
225,105,217,110
240,105,240,110
255,105,259,114
270,105,275,110
285,105,304,111
300,105,312,111
315,105,342,112
330,105,348,108
345,105,376,109
360,105,368,107
405,105,407,105
435,105,436,103
15,120,15,123
105,120,106,124
120,120,115,120
150,120,140,123
165,120,153,123
180,120,171,120
210,120,216,118
225,120,226,123
240,120,243,127
255,120,264,130
270,120,287,119
285,120,317,130
300,120,324,126
315,120,343,126
330,120,348,127
345,120,361,126
360,120,365,124
375,120,377,124
390,120,390,125
420,120,419,122
435,120,439,123
450,120,453,120
465,120,473,122
0,135,-4,139
15,135,13,136
30,135,28,133
105,135,97,138
120,135,110,137
135,135,130,134
150,135,140,136
165,135,157,128
180,135,188,144
195,135,201,141
210,135,208,142
225,135,226,136
240,135,252,137
255,135,268,143
270,135,287,144
285,135,295,142
300,135,313,137
315,135,330,141
330,135,346,138
345,135,362,138
360,135,372,142
405,135,410,136
450,135,454,136
465,135,471,141
0,150,-11,152
15,150,11,150
30,150,27,150
90,150,86,149
105,150,93,152
120,150,108,148
135,150,128,145
150,150,148,147
165,150,166,151
180,150,185,157
195,150,207,160
210,150,223,158
225,150,231,155
240,150,252,157
255,150,272,156
270,150,282,154
285,150,302,155
300,150,316,151
315,150,320,155
330,150,339,156
345,150,352,153
360,150,362,151
405,150,409,151
420,150,422,149
435,150,439,152
450,150,455,152
465,150,471,151
0,165,-4,164
15,165,7,165
30,165,24,165
45,165,39,164
60,165,57,165
75,165,69,164
90,165,76,164
105,165,84,160
120,165,97,166
135,165,125,188
150,165,144,162
165,165,159,169
180,165,178,171
195,165,208,168
210,165,230,170
225,165,250,178
240,165,246,173
255,165,275,173
270,165,292,169
285,165,302,170
300,165,308,170
315,165,316,170
330,165,335,166
345,165,343,172
435,165,441,168
450,165,452,170
465,165,469,168
0,180,-11,176
15,180,4,174
30,180,25,177
45,180,38,176
60,180,47,180
75,180,57,176
90,180,79,182
105,180,92,181
120,180,106,197
135,180,130,201
150,180,132,203
165,180,158,193
180,180,179,201
195,180,190,185
210,180,214,191
225,180,219,191
240,180,256,190
255,180,271,192
270,180,299,188
285,180,308,188
300,180,307,190
315,180,316,189
330,180,340,189
345,180,351,187
360,180,363,180
420,180,415,182
435,180,431,182
0,195,-6,200
15,195,8,193
30,195,20,191
45,195,40,195
60,195,62,190
75,195,71,195
90,195,96,198
105,195,104,198
120,195,111,197
135,195,125,196
150,195,141,209
165,195,160,228
180,195,166,221
195,195,177,220
210,195,197,218
225,195,245,205
240,195,254,200
255,195,271,205
270,195,291,204
285,195,302,216
300,195,317,203
315,195,312,201
330,195,337,201
345,195,346,197
360,195,361,196
435,195,432,195
0,210,6,211
15,210,18,211
30,210,23,205
45,210,37,213
60,210,59,215
75,210,68,215
90,210,91,212
105,210,104,204
120,210,114,205
135,210,115,231
150,210,150,234
165,210,166,224
180,210,174,230
195,210,187,237
210,210,244,220
225,210,252,212
240,210,249,213
255,210,271,217
270,210,297,228
285,210,318,220
300,210,333,228
315,210,326,231
330,210,339,214
345,210,358,215
360,210,364,213
375,210,378,213
390,210,391,211
450,210,451,211
