start_x,start_y,end_x,end_y
180,0,178,-1
375,0,376,4
420,0,422,1
435,0,434,5
450,0,449,-3
465,0,466,-1
180,15,173,16
300,15,293,14
315,15,312,15
330,15,324,15
375,15,371,18
405,15,406,13
450,15,455,15
465,15,479,15
135,30,137,32
150,30,149,32
180,30,174,34
210,30,206,30
225,30,219,32
240,30,238,36
270,30,264,28
285,30,277,28
300,30,286,27
315,30,300,28
330,30,317,30
345,30,330,29
360,30,359,35
375,30,385,31
405,30,409,28
420,30,421,28
450,30,452,31
465,30,479,31
105,45,109,44
135,45,133,44
165,45,157,37
180,45,172,49
195,45,188,45
210,45,204,49
225,45,217,45
240,45,231,47
255,45,255,49
270,45,259,45
285,45,272,41
300,45,288,42
315,45,307,40
330,45,312,47
345,45,350,46
360,45,369,47
375,45,389,44
405,45,405,35
420,45,421,46
435,45,443,42
450,45,458,43
465,45,470,46
30,60,33,60
60,60,57,60
135,60,136,61
165,60,160,62
180,60,173,59
195,60,189,56
210,60,195,61
225,60,211,57
240,60,225,60
255,60,245,60
270,60,258,62
285,60,270,57
300,60,302,59
315,60,317,63
330,60,333,63
345,60,354,63
360,60,371,61
375,60,388,64
390,60,389,63
405,60,405,56
420,60,416,55
435,60,439,63
450,60,456,63
465,60,483,65
0,75,-2,72
60,75,57,77
105,75,101,77
120,75,118,78
135,75,134,80
150,75,141,77
165,75,160,78
180,75,168,78
195,75,181,79
210,75,193,76
225,75,204,79
240,75,225,78
255,75,243,76
270,75,250,78
285,75,283,84
300,75,308,87
315,75,325,78
330,75,344,79
345,75,355,81
360,75,377,83
375,75,383,79
390,75,391,76
405,75,405,71
420,75,412,71
435,75,437,73
450,75,456,71
465,75,468,72
30,90,28,88
75,90,76,91
90,90,91,92
105,90,99,90
120,90,114,90
135,90,128,92
150,90,141,86
165,90,150,89
180,90,166,87
195,90,175,92
210,90,186,91
225,90,211,89
240,90,231,95
255,90,250,90
270,90,268,99
285,90,293,107
300,90,311,99
315,90,330,97
330,90,348,99
345,90,364,91
360,90,377,96
375,90,374,93
420,90,420,85
450,90,457,87
465,90,472,90
0,105,1,106
105,105,103,103
120,105,110,107
135,105,124,106
150,105,135,100
165,105,152,106
180,105,162,110
195,105,179,108
210,105,201,104
225,105,219,107
240,105,236,106
255,105,263,105
270,105,278,110
285,105,304,113
300,105,314,110
315,105,339,106
330,105,349,108
345,105,378,107
360,105,373,107
375,105,379,105
420,105,415,105
450,105,451,106
465,105,468,103
0,120,-1,118
45,120,44,122
75,120,78,114
105,120,105,123
120,120,115,121
135,120,132,117
150,120,143,118
165,120,155,122
180,120,171,121
195,120,198,122
210,120,216,120
225,120,230,124
240,120,244,125
255,120,261,125
270,120,288,122
285,120,311,133
300,120,325,127
315,120,342,129
330,120,349,126
345,120,356,127
360,120,365,125
390,120,394,119
420,120,426,119
435,120,437,124
450,120,452,121
465,120,475,122
0,135,-16,140
15,135,13,138
30,135,25,131
90,135,86,137
105,135,97,136
120,135,112,136
135,135,126,135
150,135,143,135
165,135,151,130
180,135,187,143
195,135,204,141
210,135,213,142
240,135,251,140
255,135,266,142
270,135,288,144
285,135,297,144
300,135,313,137
315,135,320,141
330,135,347,137
345,135,363,138
360,135,370,140
375,135,375,132
405,135,407,136
420,135,422,134
435,135,442,135
450,135,460,133
465,135,475,141
0,150,-10,154
15,150,10,150
60,150,62,150
90,150,84,151
105,150,90,153
120,150,110,148
135,150,125,144
150,150,153,151
165,150,166,154
180,150,185,156
195,150,209,160
210,150,225,156
225,150,235,152
240,150,253,153
255,150,271,151
270,150,282,149
285,150,296,153
300,150,314,149
315,150,316,156
330,150,340,153
345,150,351,152
360,150,362,152
405,150,410,150
420,150,422,148
435,150,438,152
450,150,455,154
465,150,477,147
0,165,-2,167
15,165,10,167
30,165,27,165
45,165,35,164
75,165,71,165
90,165,76,165
105,165,88,161
120,165,98,172
135,165,128,175
150,165,151,161
165,165,163,168
180,165,174,170
195,165,205,175
210,165,228,171
225,165,251,177
240,165,252,174
255,165,274,174
270,165,288,166
285,165,307,166
300,165,309,168
330,165,339,164
345,165,342,168
360,165,361,160
390,165,392,166
420,165,416,163
435,165,436,171
450,165,457,170
465,165,474,166
0,180,-6,175
