start_x,start_y,end_x,end_y
405,195,401,183
420,195,431,187
435,195,451,178
450,195,465,165
465,195,489,166
0,210,-8,205
15,210,7,206
30,210,26,205
45,210,42,201
60,210,50,201
75,210,54,198
90,210,77,207
105,210,97,199
120,210,128,206
135,210,117,200
150,210,117,197
165,210,156,210
180,210,163,196
195,210,178,202
210,210,197,204
225,210,216,201
240,210,226,199
255,210,253,205
270,210,269,199
285,210,290,192
300,210,296,191
315,210,307,199
330,210,321,196
345,210,333,196
360,210,364,201
375,210,380,195
390,210,398,190
405,210,400,188
420,210,429,200
435,210,451,202
465,210,464,200
