start_x,start_y,end_x,end_y
30,0,31,3
45,0,44,8
105,0,105,3
120,0,118,2
240,0,242,-1
285,0,283,0
360,0,364,4
15,15,15,17
30,15,29,19
45,15,44,21
60,15,59,20
75,15,73,21
90,15,89,22
105,15,102,23
120,15,114,24
345,15,344,18
360,15,360,19
390,15,388,17
30,30,26,32
45,30,42,39
75,30,74,32
90,30,90,38
105,30,104,37
120,30,118,33
135,30,134,34
150,30,146,29
345,30,346,34
360,30,356,34
390,30,387,33
405,30,405,35
15,45,17,49
30,45,25,46
60,45,60,47
90,45,88,53
105,45,104,49
120,45,119,49
135,45,135,48
150,45,148,51
165,45,164,49
180,45,178,47
195,45,194,46
285,45,285,47
300,45,297,48
315,45,311,46
345,45,344,52
360,45,359,49
375,45,375,48
390,45,389,50
405,45,404,51
0,60,-17,74
15,60,13,69
30,60,32,65
45,60,45,65
75,60,74,57
90,60,89,65
105,60,104,66
120,60,119,69
150,60,149,65
165,60,165,65
180,60,180,63
195,60,190,60
210,60,207,69
225,60,223,65
240,60,240,62
285,60,284,64
300,60,299,65
330,60,337,63
345,60,341,73
360,60,357,68
375,60,374,70
390,60,386,67
405,60,379,64
420,60,377,62
435,60,441,58
465,60,462,61
15,75,14,83
30,75,32,84
45,75,47,76
60,75,62,73
90,75,89,80
105,75,103,80
120,75,119,79
135,75,130,77
150,75,148,80
165,75,164,80
180,75,177,80
195,75,193,81
210,75,208,81
225,75,225,80
240,75,238,80
255,75,254,81
270,75,268,77
300,75,295,82
315,75,314,81
330,75,330,80
345,75,345,81
360,75,359,82
375,75,375,81
390,75,387,80
405,75,396,79
420,75,428,77
435,75,442,76
450,75,450,79
465,75,458,82
0,90,-2,97
15,90,14,96
30,90,31,92
60,90,58,94
75,90,74,93
90,90,80,96
105,90,99,96
120,90,119,95
135,90,128,94
150,90,147,96
165,90,163,94
180,90,181,94
195,90,196,95
210,90,208,95
225,90,225,96
240,90,238,95
255,90,253,95
270,90,266,96
285,90,284,94
300,90,296,96
315,90,313,96
330,90,328,96
345,90,344,95
360,90,358,95
375,90,372,95
390,90,388,95
405,90,404,97
420,90,418,94
435,90,433,95
450,90,448,95
465,90,460,98
0,105,-2,108
15,105,14,111
30,105,26,108
45,105,40,106
60,105,56,109
75,105,72,110
90,105,85,111
105,105,101,108
120,105,114,108
135,105,129,108
150,105,146,110
165,105,156,112
180,105,178,112
195,105,197,111
210,105,214,111
225,105,231,109
240,105,246,109
255,105,254,111
270,105,269,112
285,105,286,111
300,105,298,111
315,105,315,116
330,105,330,111
345,105,345,110
360,105,360,110
375,105,373,110
390,105,389,111
405,105,405,115
420,105,419,112
435,105,435,108
450,105,449,109
465,105,462,111
0,120,-1,124
30,120,28,123
45,120,43,125
60,120,58,126
75,120,74,125
120,120,119,125
135,120,133,128
150,120,138,127
165,120,157,126
180,120,172,127
195,120,187,129
210,120,200,128
225,120,224,126
240,120,242,133
255,120,262,131
270,120,280,128
285,120,292,130
300,120,306,126
315,120,321,126
330,120,332,126
345,120,353,126
360,120,358,124
375,120,377,125
390,120,396,123
405,120,405,123
420,120,419,124
435,120,435,124
450,120,451,126
465,120,461,133
15,135,11,138
30,135,27,139
45,135,43,138
60,135,59,141
75,135,73,140
135,135,132,140
150,135,141,142
165,135,154,145
180,135,175,141
195,135,185,140
210,135,200,141
225,135,216,138
240,135,227,141
255,135,253,142
270,135,274,138
285,135,295,142
300,135,314,140
315,135,318,142
330,135,347,139
345,135,367,139
360,135,374,141
375,135,376,141
390,135,399,139
405,135,422,138
420,135,444,138
435,135,449,133
450,135,466,139
465,135,478,140
0,150,0,153
15,150,10,153
30,150,25,155
45,150,46,155
60,150,64,150
75,150,82,152
90,150,91,152
105,150,103,152
135,150,133,153
150,150,139,154
165,150,154,155
180,150,164,155
195,150,184,156
210,150,199,157
225,150,207,157
240,150,224,161
255,150,232,157
270,150,253,153
285,150,266,156
300,150,286,152
315,150,325,152
330,150,341,157
345,150,363,154
360,150,373,163
375,150,377,147
390,150,418,151
405,150,428,150
420,150,429,158
435,150,451,151
450,150,469,157
465,150,483,152
0,165,5,168
15,165,14,168
30,165,30,167
45,165,44,168
60,165,61,169
75,165,75,167
90,165,85,168
120,165,115,166
135,165,127,168
150,165,131,170
165,165,149,168
180,165,170,167
195,165,180,174
210,165,185,170
225,165,199,195
240,165,226,174
255,165,239,178
270,165,249,171
285,165,265,174
300,165,275,184
315,165,320,176
330,165,333,168
345,165,359,170
360,165,367,170
375,165,372,174
390,165,400,178
405,165,417,163
420,165,444,171
435,165,461,168
450,165,478,167
465,165,491,171
15,180,13,178
30,180,29,184
45,180,40,184
60,180,58,185
75,180,71,185
90,180,80,182
105,180,97,187
120,180,112,181
135,180,121,170
150,180,121,183
165,180,137,189
180,180,160,187
195,180,180,188
210,180,190,186
225,180,206,190
240,180,228,188
255,180,233,179
270,180,246,192
285,180,267,194
300,180,278,202
315,180,289,202
330,180,318,187
345,180,337,176
360,180,354,184
375,180,372,185
390,180,402,191
405,180,408,185
420,180,432,186
435,180,463,184
450,180,485,191
465,180,491,186
0,195,-5,198
15,195,12,197
30,195,28,200
45,195,41,200
60,195,53,200
75,195,65,205
90,195,79,199
105,195,98,197
120,195,102,196
135,195,99,189
150,195,126,206
165,195,135,206
180,195,157,193
195,195,174,194
210,195,191,198
225,195,208,201
240,195,229,199
255,195,235,198
270,195,246,199
285,195,267,207
300,195,277,211
315,195,297,200
330,195,306,204
345,195,325,197
360,195,346,194
375,195,369,203
390,195,373,203
405,195,395,209
420,195,425,204
450,195,475,200
465,195,494,195
0,210,0,217
15,210,16,213
30,210,20,216
45,210,36,217
60,210,49,216
75,210,66,216
90,210,80,216
105,210,96,211
120,210,108,214
135,210,99,216
150,210,115,215
165,210,127,214
180,210,157,212
195,210,177,209
210,210,170,216
225,210,200,215
240,210,223,214
255,210,251,212
270,210,254,205
285,210,274,211
300,210,288,213
315,210,301,226
330,210,311,222
345,210,321,209
360,210,338,215
375,210,370,214
390,210,385,215
405,210,402,224
420,210,413,212
435,210,417,219
450,210,453,208
465,210,483,221
